"V1" "V2" "V3" "V4" "V5" "V6"
"1" 1035255.41358504 501886.054403311 325531.702937857 693632.273529775 112378.933303279 6460107.42008315
"2" 784895.668271708 460383.032182619 330287.340635749 700986.081639124 113689.245574081 6497974.53109349
"3" 630912.058681824 412318.054413183 333658.243099635 706277.786855962 114679.339166396 6522693.1725246
"4" 526868.134629737 360283.415948971 336322.055484269 710445.664927041 115457.584981787 6540871.15240259
"5" 451514.837332953 305154.490114146 338598.119009003 713997.296790775 116119.472216228 6555400.9182307
"6" 393812.618271399 247818.136311099 340642.813809715 717180.66942117 116711.796800308 6567709.04516863
"7" 347473.980848413 189682.758426851 342525.728181756 720106.312643879 117255.592830683 6578498.83064753
"8" 308637.82594157 133187.409406495 344255.856808899 722789.561423721 117754.25922138 6588031.44623032
"9" 274767.518989088 82261.4646975916 345789.122538082 725162.815437209 118195.933780926 6596233.54747518
"10" 244101.66670552 42027.6802066664 347042.871328061 727097.791102148 118557.391815926 6602800.38775548
"11" 215406.367854626 16430.8555503856 347949.778278615 728488.38957682 118818.735244112 6607467.58004224
"12" 187879.694775672 4555.49416156895 348538.488785615 729376.667106787 118986.50867867 6610408.21752364
"13" 161027.692507189 851.923396122851 348932.569433078 729954.446045916 119095.327682038 6612246.41393689
"14" 134478.412413019 105.507727295522 349247.962793045 730404.300076301 119179.333817725 6613570.06104772
"15" 107901.833588863 8.65289856317011 349538.487032191 730811.765859494 119255.008642786 6614658.62943409
"16" 1082466.85401855 498.18611411433 314646.214663693 618894.894538912 116582.618916852 6606036.86681482
"17" 814417.44136234 18573.1286563589 318486.2698292 625015.325023709 117745.135138568 6639761.27267869
"18" 640127.688994608 211251.843973324 317243.830888312 623154.41962481 117458.535877961 6641617.16567161
"19" 524592.808067889 345420.748058656 316228.44507314 621415.347591618 117055.476499108 6639482.63734476
"20" 448551.585640939 312426.431335948 318021.014001814 624217.019853385 117557.409782906 6651450.5674024
"21" 391139.877043916 257375.464249633 319975.97022133 627294.962900383 118135.499979606 6663513.19423855
"22" 345085.661109512 199436.909014428 321815.111362913 630186.682233731 118680.44550887 6674311.29530546
"23" 306480.982006443 142448.683284615 323519.218215498 632861.398246125 119184.723082192 6683933.3607144
"24" 272806.258233199 90258.409114238 325046.31665003 635254.352332223 119636.412880711 6692300.71186195
"25" 242314.40727951 47892.3629407805 326316.987227076 637241.779499431 120012.53891966 6699105.30087172
"26" 213768.573580515 19736.0663659331 327256.10008874 638705.476716945 120290.435549696 6704028.00664244
"27" 186348.368595204 5844.87439534261 327871.96691484 639656.901722395 120470.82144087 6707141.13482819
"28" 159551.49342449 1177.11883619044 328275.483673749 640269.365664952 120585.236023921 6709023.43116382
"29" 133018.825990984 157.546509373141 328587.840234394 640734.308779382 120670.147157646 6710309.59962412
"30" 106437.386159134 13.9834566851503 328871.357117735 641150.883402993 120745.119477922 6711333.42104397
"31" 1080749.10673957 835.4725972771 299467.312854621 564073.30198715 117610.7621889 6666707.81015643
"32" 811699.413155741 31443.6742752838 302973.165943723 569767.68648773 118718.647828681 6699465.97000857
"33" 634712.474875156 273178.440910168 300768.564343203 566408.057363713 118123.231357058 6695691.1136996
"34" 522340.848886049 361957.091112946 300623.451612476 566118.119403248 117966.319506539 6697916.53106995
"35" 447023.286169513 319960.102701649 302543.235859907 569170.859917272 118534.863501033 6710945.94018099
"36" 389827.469833393 263987.562893736 304470.8453855 572235.738295399 119123.071809634 6723170.22775887
"37" 343913.711680571 205810.408560593 306273.502134073 575095.069726949 119672.969481302 6734055.59137701
"38" 305420.397739066 148428.972105396 307947.991261872 577745.48455169 120182.893236937 6743780.21747672
"39" 271842.186426935 95442.9200395503 309457.643915949 580131.157384765 120642.33069779 6752285.45232083
"40" 241439.566734555 51769.1865659664 310726.494638354 582133.983492353 121028.7503634 6759266.15717201
"41" 212973.714106709 22004.4023375165 311676.515212208 583631.589465277 121318.06802635 6764373.96971663
"42" 185612.504175666 6778.45280341609 312304.285788407 584617.730540764 121507.517139914 6767619.9997222
"43" 158846.222265318 1427.79666016553 312710.939194908 585250.968041194 121626.402482074 6769549.05081789
