"V1" "V2" "V3" "V4" "V5" "V6"
"1" 0 0 0 0 0 0
"2" 75475.1029416906 1662.22395301423 0 0 0 0
"3" 114912.485884073 2772.52904640289 0 0 0 0
"4" 136291.310581759 3404.48068720899 0 0 0 0
"5" 147507.556899712 3620.87326634616 0 0 0 0
"6" 152445.719730628 3478.71328320729 0 0 0 0
"7" 153161.985407619 3039.30377294906 0 0 0 0
"8" 150784.847177571 2381.96567294275 0 0 0 0
"9" 145925.340111272 1619.94622175163 0 0 0 0
"10" 138890.237912428 904.837930132176 0 0 0 0
"11" 129835.00048105 385.532334320331 0 0 0 0
"12" 118895.964452121 116.213174958742 0 0 0 0
"13" 106231.504446083 23.5340522322497 0 0 0 0
"14" 91958.7872138803 3.13921821220583 0 0 0 0
"15" 76128.6023913661 0.275783210856803 0 0 0 0
"16" 0 0 5716.0696513795 13301.7457579382 0 0
"17" 78552.9848754977 47.3002682848309 5731.7404676825 13290.196392885 0 0
"18" 116726.567634708 1216.91168305067 5721.39380302954 13270.2887951451 0 0
"19" 135490.54806564 3243.64308968288 5711.7637095312 13244.47866137 0 0
"20" 146220.036336058 3748.81428667856 5716.66707780708 13238.1187511703 0 0
"21" 151043.19329143 3659.69150491258 5722.40957410953 13235.026665208 0 0
"22" 151712.147360282 3237.47694298038 5727.70608484523 13232.5916292056 0 0
"23" 149319.030498954 2580.22139013955 5732.43642156954 13230.3691637902 0 0
"24" 144469.693135597 1798.92631673697 5736.36483020246 13228.0604504396 0 0
"25" 137469.604104416 1042.43296802551 5739.07682135758 13225.3350002974 0 0
"26" 128464.987269512 467.598949304046 5740.17118756447 13221.8583890362 0 0
"27" 117572.425250248 150.421528959796 5739.63817152021 13217.468594841 0 0
"28" 104937.039151482 32.7909589092266 5737.96834225111 13212.3323453228 0 0
"29" 90679.7106278039 4.72651857042034 5735.71437741298 13206.7583137562 0 0
"30" 74860.5907494135 0.449381227031443 5733.15000592625 13200.9171454606 0 0
"31" 0 0 9614.67038327496 20480.7872259714 0 0
"32" 78248.5040598708 81.0406071091285 9642.27665433336 20461.4856878941 0 0
"33" 115576.998826066 1651.71650749504 9613.5560665344 20414.1968530232 0 0
"34" 134753.829319311 3447.91325557158 9605.03065559201 20377.59450316 0 0
"35" 145552.088367993 3867.58536233774 9615.58398709189 20369.2351788575 0 0
"36" 150342.99983789 3779.24488229599 9626.2385932932 20364.4895162014 0 0
"37" 150985.909553292 3363.36318168992 9635.91762863104 20360.7112664684 0 0
"38" 148581.067023632 2706.10034663097 9644.55011133063 20357.2845917689 0 0
"39" 143735.021466399 1913.92604546885 9651.75010142392 20353.6797810892 0 0
"40" 136753.372616784 1133.01028846042 9656.78221588876 20349.2862858749 0 0
"41" 127777.81647287 523.815541613166 9658.88607861247 20343.4886906783 0 0
"42" 116913.552945569 175.171591510004 9657.95668706107 20335.991609682 0 0
"43" 104296.671288906 39.92769047827 9654.83049100854 20327.10191151 0 0
