"Fmsy" "fnames" "M" "Umsy" "Bmsy" "wInf" "t0" "wMat" "aMat" "k"
"1" 0.0377 "ACADREDGOMGB" 0.05 0.016266645 NA 1050 -1.1 NA 5 0.1
"2" NA "AFLONCH" NA NA NA NA NA NA NA NA
"3" 0.18 "ALBAIO" NA NA 346290.6019 NA NA NA NA NA
"4" NA "ALBAMED" NA NA 167213.1125 NA NA NA NA NA
"5" 0.175 "ALBANATL" NA 0.227935479 86555.84499 30150 NA NA NA NA
"6" 0.1219 "ALBANPAC" NA 0.146502576 806325.3318 30150 NA NA NA NA
"7" NA "ALBASATL" NA NA 200546.0662 NA NA NA NA NA
"8" NA "ALBASPAC" 0.4 0.141 692000 30150 NA NA NA 0.347
"9" 0.19 "ALPLAICBSAI" 0.25 NA NA 3093.68331131244 0.35 NA NA 0.127
"10" NA "AMPL23K" NA NA NA 3200 NA NA NA NA
"11" NA "AMPL3LNO" 0.2 NA NA 3200 NA NA NA 0.2
"12" NA "AMPL3M" 0.2 NA NA 3200 NA NA NA NA
"13" NA "AMPL3Ps" NA NA NA 3200 NA NA NA NA
"14" 0.19 "AMPL5YZ" 0.2 0.067904575 NA 3200 NA NA NA 0.2
"15" 0.17 "ANCHMEDGSA16" 0.66 NA 14152 77.62392 -2 NA NA 0.31
"16" NA "ANCHMEDGSA17" 1.1 NA NA 73.01384 -0.5 NA NA 0.57
"17" NA "ANCHMEDGSA7" NA NA NA 99.2713906607696 -1.4 NA NA 0.35
"18" NA "ANCHOBAYB" 1.2 NA NA 40 NA NA 1 NA
"19" NA "ANCHOSA" 0.9 NA NA 20.3984 -0.2737 NA NA 0.79756
"20" NA "ANCHOVYKILKACS" 0.473 NA NA 20.6 -1.34 NA 2.2 0.238
"21" NA "ANCHOWA" NA NA NA NA NA NA NA NA
"22" 0.164656823 "ANGLMEDGSA15-16" 0.2 NA NA 2947.09231075246 -0.4 NA NA 0.17
"23" NA "APOLLPJPN" NA NA NA NA NA NA NA NA
"24" 0.29 "ARFLOUNDBSAI" NA NA NA 9696.18834023919 -0.81 6.27144775316173 NA 0.16
"25" 0.219 "ARFLOUNDGA" 0.2 0.225833458 NA 14685.7683057572 NA 961.15157672291 NA NA
"26" 0.21 "ARFLOUNDPCOAST" 0.166 0.131056522 NA 4300 0.315 NA 4.5 0.17
"27" 0.1898 "ARGANCHONARG" 1.02 0.404626598 1047948.41 42.1 -1.05 5.92959423876704 1 0.43
"28" 0.17 "ARGANCHOSARG" 1.05 0.395170345 733418.85 51.4 -1.058 14.4910066285275 1 0.404
"29" NA "ARGHAKENARG" NA NA NA 4286.5 NA NA NA NA
"30" NA "ARGHAKESARG" NA NA NA 4286.5 NA NA NA NA
"31" 0.1243 "ATBTUNAEATL" NA NA 472859.4142 342000 NA NA NA NA
"32" 0.15 "ATBTUNAWATL" NA 0.055032146 65073.65425 342000 NA NA NA NA
"33" 0.073 "ATHAL5YZ" 0.15 0.071428571 49000 181914.47 0.27 4534.81705 7 0.07
"34" 0.468 "ATKABSAI" 0.3 NA NA 226.372566248523 0.79 NA 3.6 0.67
"35" 0.39 "ATLCROAKMATLC" 0.3 NA NA 1290 NA NA NA 0.2
